Name,Label,True
1995_Hootie_And_The_Blowfish_Hold_My_Hand.mp3,non-prog,non-prog
1960_Bryan_Hyland_Itsy_Bitsy.mp3,prog,non-prog
1989_Milli_Vanilli_Girl_You_Know_It's_True.mp3,prog,non-prog
2009_Beyonce_Single_Ladies_Put_A_Ring_On_It.mp3,prog,non-prog
2020_BTS_Dynamite.mp3,prog,non-prog
1943_Duke_Ellington_In_A_Sentimental.mp3,prog,non-prog
1964_The_Beatles_I_Want_To_Hold_Your_Hand.mp3,non-prog,non-prog
1982_Foreigner_Waiting_For_A_Girl_Like_You.mp3,non-prog,non-prog
1956_Elvis_Presley_Heartbreak_Hotel.mp3,prog,non-prog
2006_Kanye_West_Gold_Digger.mp3,prog,non-prog
1944_Les_Brown_Twilight_Time.mp3,non-prog,non-prog
